"Street_Name","Cross_Street"
"Western Ave","GREEN ST"
"Brattle St","JFK St"
"PLEASANT ST",""
"GARDEN ST","Cambridge Common"
"Cambridge St",""
"Galileo Galilei Way","Broadway"
"Vassal Ln",""
"Binney St","FIRST ST"
"MOUNT AUBURN ST",""
"GARDEN ST","MASON ST"
1,"Hampshire St"
"Massachusetts Ave","Windsor St"
"Webster Ave","ELM ST"
"Massachusetts Ave",""
"Massachusetts Ave","Cedar St"
"Massachusetts Ave",""
"Massachusetts Ave",""
"Massachusetts Ave",""
"Chestnut St",""
"Berkshire St",""
"Sidney St",""
"Broadway",""
"Broadway","PROSPECT ST"
"GARDEN ST","MASON ST"
"Cambridge St","Sixth St"
"Hampshire St",""
"Concord Ave",""
"Massachusetts Ave",""
"Concord Ave",""
"Vassar St","MAIN ST"
"Vassal Ln",""
"Massachusetts Ave",""
"Massachusetts Ave",""
"","Massachusetts Ave"
"Chauncy St",""
"Massachusetts Ave","Albany St"
"Cambridge St","Third St"
"Bishop Allen Dr","PROSPECT ST"
"Windsor St","Cambridge St"
"MEMORIAL DR",""
"Franklin St","PEARL ST"
"Cardinal Medeiros Ave","Binney St"
"Willard St","MOUNT AUBURN ST"
"SPRING ST",""
"SURREY ST","Putnam Ave"
"Broadway","Binney St"
"Hampshire St","PROSPECT ST"
"Hampshire St","Broadway"
"Cambridge St","Windsor St"
"GARFIELD ST",""
"MOUNT AUBURN ST","JFK St"
"MOONEY ST",""
"Columbia St",""
"MOUNT AUBURN ST","Willard St"
"New St",""
"ROSELAND ST",""
"Alewife Brook Pky",""
"Sixth St",""
"Alpine St",""
"Cardinal Medeiros Ave",""
"Hampshire St","Tremont St"
"Binney St",""
"MOUNT AUBURN ST",""
"Athens St",""
"JFK St","Brattle St"
"Concord Ave","Alewife Brook Pky"
"Warren St",""
"Cambridge St","Columbia St"
"Bishop Allen Dr","Columbia St"
"Evereteze Way",""
"River St",""
"Callender St",""
"Cedar St","Massachusetts Ave"
"Walden St",""
"MOUNT AUBURN ST",""
"Massachusetts Ave","ROSELAND ST"
"Inman St","Doyle Way"
"Broadway",""
"SCIARAPPA ST","Thorndike St"
"GARDEN ST","MASON ST"
"Binney St","FIRST ST"
"FRESH POND PKY","Brattle St"
"ELM ST","Webster Ave"
"Sidney St",""
"Alewife Brook Pky",""
"Massachusetts Ave",""
"HUDSON ST","Wright St"
"JFK St","HARVARD ST"
"HOLWORTHY ST","SPRUCE AVE"
"ELIOT ST","JFK St"
"FRESH POND PKY",""
"Cambridge St",""
"GARDEN ST","Appian Way"
"Bishop Allen Dr",""
"Inman St",""
"Dewolfe St",""
"Willow St",""
"Concord Ave",""
"Vassar St","MAIN ST"
"Washington Ave",""
"MANASSAS AVE",""
"Cambridge St","Cardinal Medeiros Ave"
"Hampshire St","Norfolk St"
"Windsor St",""
"Broadway","Galileo Galilei Way"
"Wendell St",""
"Tremont St",""
"DAVENPORT ST","Massachusetts Ave"
"Clarendon Ave","Massachusetts Ave"
"MOUNT AUBURN ST",""
"River St","Blackstone St"
"FULKERSON ST","Binney St"
"Third St","Monsignor OBrien Hwy"
"Massachusetts Ave",""
"MOUNT AUBURN ST","Brattle St"
"SOMERVILLE AVE","White St"
"MOUNT AUBURN ST","Sparks St"
"Windsor St","Cambridge St"
