"id","Month","Day","Year","Time","AM/PM","Day_of_Week","Object_1","Object_2","Street_Number","Street_Name","Cross_Street","Location"
30783,5,20,2012,"02:35:00","AM","Sunday","Auto","Fixed Object","","Cambridge St","HOVEY AVE"," Cambridge St & HOVEY AVE Cambridge, MA"
24542,7,30,2010,"02:36:00","AM","Friday","Auto","Parked Vehicle",85,"SHERMAN ST","","85 SHERMAN ST Cambridge, MA"
25154,12,4,2010,"02:37:00","AM","Saturday","Auto","Parked Vehicle",25,"MARCELLA ST","","25 MARCELLA ST Cambridge, MA"
30816,5,27,2012,"02:37:00","AM","Sunday","Auto","Auto","","Vassar St","MEMORIAL DR"," Vassar St & MEMORIAL DR Cambridge, MA"
25875,4,1,2011,"02:38:00","AM","","Auto","Auto",585,"MOUNT AUBURN ST","","585 MOUNT AUBURN ST Cambridge, MA"
24305,6,6,2010,"02:39:00","AM","Sunday","Taxi","Auto","","Massachusetts Ave","Church St"," Massachusetts Ave & Church St Cambridge, MA"
24912,10,10,2010,"02:40:00","AM","Sunday","Taxi","Auto","","JFK St","MOUNT AUBURN ST"," JFK St & MOUNT AUBURN ST Cambridge, MA"
25794,4,1,2011,"02:40:00","AM","Tuesday","Auto","Fixed Object",688,"Cambridge St","","688 Cambridge St Cambridge, MA"
26792,11,13,2011,"02:40:00","AM","Sunday","Auto","Taxi","","MOUNT AUBURN ST","HOLYOKE ST"," MOUNT AUBURN ST & HOLYOKE ST Cambridge, MA"
26801,11,13,2011,"02:40:00","AM","Sunday","Auto","Auto","","MOUNT AUBURN ST","HOLYOKE ST"," MOUNT AUBURN ST & HOLYOKE ST Cambridge, MA"
31643,12,1,2012,"02:40:00","AM","","Auto","Taxi","","Massachusetts Ave","MEMORIAL DR"," Massachusetts Ave & MEMORIAL DR Cambridge, MA"
26985,12,23,2011,"02:42:00","AM","Friday","Auto","Parked Vehicle","","Alewife Brook Pky",""," Alewife Brook Pky &  Cambridge, MA"
25764,3,25,2011,"02:43:00","AM","Friday","Auto","Parked Vehicle",261,"PEARL ST","","261 PEARL ST Cambridge, MA"
29184,5,26,2013,"02:44:00","AM","Sunday","Auto","Auto","","Massachusetts Ave","Walden St"," Massachusetts Ave & Walden St Cambridge, MA"
26787,11,12,2011,"02:45:00","AM","Saturday","Auto","Parked Vehicle","","North Point Blvd","Education Way"," North Point Blvd & Education Way Cambridge, MA"
