"Month","Day","Year","Location","Object_1","Object_2","Events"
1,12,2010,"24 Walker St Cambridge, MA","Auto","Parked Vehicle",""
1,12,2010,"24 Walker St Cambridge, MA","Auto","Parked Vehicle",""
1,12,2010,"122 SPRING ST Cambridge, MA","Auto","Parked Vehicle",""
1,12,2010,"122 SPRING ST Cambridge, MA","Auto","Parked Vehicle",""
1,7,2010,"3 SUFFOLK ST Cambridge, MA","Auto","Parked Vehicle",""
1,7,2010,"3 SUFFOLK ST Cambridge, MA","Auto","Parked Vehicle",""
1,13,2010," PEARL ST & Franklin St Cambridge, MA","Taxi","Pedestrian","Snow"
1,13,2010," PEARL ST & Franklin St Cambridge, MA","Taxi","Pedestrian","Snow"
1,14,2010," Magee St & Putnam Ave Cambridge, MA","Auto","Auto",""
1,14,2010," Magee St & Putnam Ave Cambridge, MA","Auto","Auto",""
1,14,2010,"65 Winter St Cambridge, MA","Auto","Parked Vehicle",""
1,14,2010,"65 Winter St Cambridge, MA","Auto","Parked Vehicle",""
1,14,2010,"1 Bennett St Cambridge, MA","Auto","Parked Vehicle",""
1,14,2010,"1 Bennett St Cambridge, MA","Auto","Parked Vehicle",""
1,17,2010," Putnam Ave & PLEASANT ST Cambridge, MA","Auto","Auto","Rain-Snow"
1,17,2010," Putnam Ave & PLEASANT ST Cambridge, MA","Auto","Auto","Rain-Snow"
1,16,2010,"14 HOWARD ST Cambridge, MA","Taxi","Parked Vehicle",""
1,16,2010,"14 HOWARD ST Cambridge, MA","Taxi","Parked Vehicle",""
1,16,2010," Hampshire St & ELM ST Cambridge, MA","Auto","Bicycle",""
1,16,2010," Hampshire St & ELM ST Cambridge, MA","Auto","Bicycle",""
1,17,2010,"153 FLORENCE ST Cambridge, MA","Auto","Parked Vehicle","Rain-Snow"
1,17,2010,"153 FLORENCE ST Cambridge, MA","Auto","Parked Vehicle","Rain-Snow"
1,15,2010,"3 Cogswell Ave Cambridge, MA","Auto","Parked Vehicle",""
1,15,2010,"3 Cogswell Ave Cambridge, MA","Auto","Parked Vehicle",""
1,15,2010," OXFORD AVE & Wendell St Cambridge, MA","Auto","Auto",""
1,15,2010," OXFORD AVE & Wendell St Cambridge, MA","Auto","Auto",""
1,16,2010," MAGAZINE ST &  Cambridge, MA","Auto","Parked Vehicle",""
1,16,2010," MAGAZINE ST &  Cambridge, MA","Auto","Parked Vehicle",""
1,17,2010," MAGAZINE ST & Upton St Cambridge, MA","Auto","Auto","Rain-Snow"
