"id","Month","Day","Year","Location","Object_1","Object_2","Events"
23680,1,11,2010," Massachusetts Ave &  Cambridge, MA","Auto","Parked Vehicle",""
23681,1,13,2010," Cambridge St & QUINCY ST Cambridge, MA","Auto","Auto","Snow"
23681,1,13,2010," Cambridge St & QUINCY ST Cambridge, MA","Auto","Auto","Snow"
23683,1,9,2010," York St &  Cambridge, MA","Auto","Parked Vehicle",""
23683,1,9,2010," York St &  Cambridge, MA","Auto","Parked Vehicle",""
23684,1,12,2010,"24 Walker St Cambridge, MA","Auto","Parked Vehicle",""
23684,1,12,2010,"24 Walker St Cambridge, MA","Auto","Parked Vehicle",""
23685,1,12,2010,"122 SPRING ST Cambridge, MA","Auto","Parked Vehicle",""
23685,1,12,2010,"122 SPRING ST Cambridge, MA","Auto","Parked Vehicle",""
23686,1,7,2010,"3 SUFFOLK ST Cambridge, MA","Auto","Parked Vehicle",""
23686,1,7,2010,"3 SUFFOLK ST Cambridge, MA","Auto","Parked Vehicle",""
23687,1,13,2010," PEARL ST & Franklin St Cambridge, MA","Taxi","Pedestrian","Snow"
23687,1,13,2010," PEARL ST & Franklin St Cambridge, MA","Taxi","Pedestrian","Snow"
23688,1,14,2010," Magee St & Putnam Ave Cambridge, MA","Auto","Auto",""
23688,1,14,2010," Magee St & Putnam Ave Cambridge, MA","Auto","Auto",""
23689,1,14,2010,"65 Winter St Cambridge, MA","Auto","Parked Vehicle",""
23689,1,14,2010,"65 Winter St Cambridge, MA","Auto","Parked Vehicle",""
23690,1,14,2010,"1 Bennett St Cambridge, MA","Auto","Parked Vehicle",""
23690,1,14,2010,"1 Bennett St Cambridge, MA","Auto","Parked Vehicle",""
23691,1,17,2010," Putnam Ave & PLEASANT ST Cambridge, MA","Auto","Auto","Rain-Snow"
23691,1,17,2010," Putnam Ave & PLEASANT ST Cambridge, MA","Auto","Auto","Rain-Snow"
23692,1,16,2010,"14 HOWARD ST Cambridge, MA","Taxi","Parked Vehicle",""
23692,1,16,2010,"14 HOWARD ST Cambridge, MA","Taxi","Parked Vehicle",""
23693,1,16,2010," Hampshire St & ELM ST Cambridge, MA","Auto","Bicycle",""
23693,1,16,2010," Hampshire St & ELM ST Cambridge, MA","Auto","Bicycle",""
23694,1,17,2010,"153 FLORENCE ST Cambridge, MA","Auto","Parked Vehicle","Rain-Snow"
23694,1,17,2010,"153 FLORENCE ST Cambridge, MA","Auto","Parked Vehicle","Rain-Snow"
23695,1,15,2010,"3 Cogswell Ave Cambridge, MA","Auto","Parked Vehicle",""
23695,1,15,2010,"3 Cogswell Ave Cambridge, MA","Auto","Parked Vehicle",""
23696,1,15,2010," OXFORD AVE & Wendell St Cambridge, MA","Auto","Auto",""
23696,1,15,2010," OXFORD AVE & Wendell St Cambridge, MA","Auto","Auto",""
23697,1,16,2010," MAGAZINE ST &  Cambridge, MA","Auto","Parked Vehicle",""
23697,1,16,2010," MAGAZINE ST &  Cambridge, MA","Auto","Parked Vehicle",""
23698,1,17,2010," MAGAZINE ST & Upton St Cambridge, MA","Auto","Auto","Rain-Snow"
23698,1,17,2010," MAGAZINE ST & Upton St Cambridge, MA","Auto","Auto","Rain-Snow"
23699,1,17,2010," GARDEN ST & Concord Ave Cambridge, MA","Auto","Taxi","Rain-Snow"
23699,1,17,2010," GARDEN ST & Concord Ave Cambridge, MA","Auto","Taxi","Rain-Snow"
23700,1,17,2010,"274 Windsor St Cambridge, MA","Auto","Parked Vehicle","Rain-Snow"
23700,1,17,2010,"274 Windsor St Cambridge, MA","Auto","Parked Vehicle","Rain-Snow"
23701,1,18,2010," Massachusetts Ave & HANCOCK ST Cambridge, MA","Auto","Pedestrian","Rain-Snow"
23701,1,18,2010," Massachusetts Ave & HANCOCK ST Cambridge, MA","Auto","Pedestrian","Rain-Snow"
23702,1,18,2010," Massachusetts Ave & Sidney St Cambridge, MA","Auto","Pedestrian","Rain-Snow"
